who,last_active,TPq10,TPmed,TPq90
SHEAN_DONOVAN,20092010,304.9,946.5,1779
CARL_GUNNARSSON,20132014,323,947,1732
RYAN_MALONE,20132014,430,948,1599.1
RYAN_STROME,20132014,137,948,2012
ALEXANDER_KOROLYUK,20032004,153,949,1983
ANDERS_LEE,20132014,142,950,1995.1
BRANDON_PRUST,20132014,295,950.5,1784.1
LARS_ELLER,20132014,292.9,952.5,1793
BRANDON_MANNING,20122013,138,952.5,2037.1
ANTOINE_ROUSSEL,20132014,192,953,1920
ALEXANDRE_GIROUX,20112012,172,953,1977.1
JOHN_CARLSON,20132014,336,954.5,1733
JASON_MARSHALL,20052006,154,956.5,1949
DANIEL_WINNIK,20132014,340,957,1716
MIKAEL_BACKLUND,20132014,272,957,1832.1
ILYA_BRYZGALOV,20132014,480,957.5,1562
ANDREI_NIKOLISHIN,20032004,218.9,958.5,1907
RICH_PEVERLEY,20132014,385,959,1690
PETER_HOLLAND,20132014,176,959,1987
FRAZER_MCLAREN,20132014,157,959,1981.1
DAVID_LIFFITON,20102011,110.9,959.5,2051
KYLE_TURRIS,20132014,305,962,1776
DMITRI_KALININ,20082009,374,964,1698
MIKE_MURPHY,20112012,124,964,2053.1
RYAN_STANTON,20132014,165,964.5,1987.2
CAL_CLUTTERBUCK,20132014,321.9,965,1793
SAM_GAGNER,20132014,375,968,1703
MAREK_MAZANEC,20132014,191,969,1967
ERIC_LINDROS,20062007,276,970.5,1820.1
SAMI_LEPISTO,20112012,284,971,1851
GREG_MAULDIN,20102011,156,971,1997
OSCAR_KLEFBOM,20132014,117,971,2041
CHRIS_KELLY,20132014,414,971.5,1690.1
RYAN_MURRAY,20132014,187,972,1969.1
FREDRIK_OLAUSSON,20022003,149,972,2020
IVAN_CIERNIK,20032004,184.9,973,1991
TREVOR_SMITH,20132014,160.9,973,1984
PAUL_RANGER,20132014,338,973.5,1780
